"Species_name_orig" "Region_name_orig" "Group" "Code" "Taxon_group"
"147" "Microhyla  fissipes" "Singapore" "Amphibia" "MLY-SI" "Amphibians; Reptiles"
"148" "Lithobates catesbeianus" "Montana" "Amphibia" "MNT-OO" "Amphibians; Reptiles"
"149" "Eleutherodactylus planirostris" "Guam" "Amphibia" "MRN-GU" "Amphibians; Reptiles"
"150" "Litoria fallax" "Guam" "Amphibia" "MRN-GU" "Amphibians; Reptiles"
"151" "Polypedates megacephalus" "Guam" "Amphibia" "MRN-GU" "Amphibians; Reptiles"
"152" "Sylvirana guentheri" "Guam" "Amphibia" "MRN-GU" "Amphibians; Reptiles"
"153" "Rhinella marina" "Guam" "Amphibia" "MRN-GU" "Amphibians; Reptiles"
"154" "Rhinella marina" "Northern Mariana Islands" "Amphibia" "MRN-NM" "Amphibians; Reptiles"
"155" "Eleutherodactylus planirostris" "Mississippi" "Amphibia" "MSI-OO" "Amphibians; Reptiles"
"156" "Lithobates catesbeianus" "Coahuila" "Amphibia" "MXE-CO" "Amphibians; Reptiles"
"157" "Lithobates catesbeianus" "Chihuahua" "Amphibia" "MXE-CU" "Amphibians; Reptiles"
"158" "Lithobates catesbeianus" "Durango" "Amphibia" "MXE-DU" "Amphibians; Reptiles"
"159" "Lithobates catesbeianus" "Nuevo León" "Amphibia" "MXE-NL" "Amphibians; Reptiles"
"160" "Lithobates catesbeianus" "San Luis Potosí" "Amphibia" "MXE-SL" "Amphibians; Reptiles"
"161" "Lithobates catesbeianus" "Tamaulipas" "Amphibia" "MXE-TA" "Amphibians; Reptiles"
"162" "Lithobates catesbeianus" "Zacatecas" "Amphibia" "MXE-ZA" "Amphibians; Reptiles"
"163" "Lithobates catesbeianus" "Veracruz" "Amphibia" "MXG-VC" "Amphibians; Reptiles"
"164" "Lithobates catesbeianus" "Baja California" "Amphibia" "MXN-BC" "Amphibians; Reptiles"
"165" "Xenopus laevis" "Baja California" "Amphibia" "MXN-BC" "Amphibians; Reptiles"
"166" "Lithobates catesbeianus" "Baja California Sur" "Amphibia" "MXN-BS" "Amphibians; Reptiles"
"167" "Xenopus laevis" "Baja California Sur" "Amphibia" "MXN-BS" "Amphibians; Reptiles"
"168" "Lithobates catesbeianus" "Sonora" "Amphibia" "MXN-SO" "Amphibians; Reptiles"
